name,category,address,lat,lon,radius_miles,distance
Frisco,"locality, political",Frisco,33.1496718,-96.835567,1,5.59
Cook Children's Pediatric Surgery Center,"doctor, health, point_of_interest, establishment","4200 West University Drive, Prosper",33.2205947,-96.87103499999999,1,0.6
Dr. Jonathan Kaye,"doctor, health, point_of_interest, establishment","4200 West University Drive Second floor, Prosper",33.2207051,-96.8705346,1,0.63
Brad Kennerly Real Estate Sales and Property Management,"real_estate_agency, point_of_interest, establishment","16356 Moss Haven Lane, Frisco",33.2139552,-96.8879011,1,0.62
Western Union,"finance, point_of_interest, establishment","4650 West University Drive, Prosper",33.2206242,-96.87779549999999,1,0.21
Kroger Money Services,"finance, point_of_interest, establishment","4650 West University Drive, Prosper",33.2207695,-96.87766359999999,1,0.22
Kroger Pharmacy,"pharmacy, drugstore, store, health, point_of_interest, establishment","4650 West University Drive, Prosper",33.2208171,-96.8776252,1,0.22
Kroger Marketplace,"grocery_or_supermarket, store, food, point_of_interest, establishment","4650 West University Drive, Prosper",33.2208395,-96.87758699999999,1,0.22
Primrose School of Windsong Ranch,"school, point_of_interest, establishment","1050 Gee Road, Prosper",33.2246342,-96.8792519,1,0.28
Today's vision 380,"store, health, point_of_interest, establishment","1525 US Highway 380 #300, Frisco",33.2182975,-96.87706949999999,1,0.31
Kroger Fuel Center,"gas_station, point_of_interest, establishment","4650 West University Drive, Prosper",33.2196305,-96.8759809,1,0.33
Windsong Ranch,"general_contractor, point_of_interest, establishment","1001 Windsong Parkway, Prosper",33.2250638,-96.87331230000001,1,0.54
Play Street Museum - Frisco,"museum, store, point_of_interest, establishment","16702 Hollyhock Road Suite 300, Frisco",33.2174765,-96.8720429,1,0.59
Dr. Thomas Rothenbach,"doctor, health, point_of_interest, establishment","4200 West University Drive, Prosper",33.2207051,-96.8705346,1,0.63
Dr. Errin Newman,"doctor, health, point_of_interest, establishment","4200 West University Drive Third floor, Prosper",33.2207051,-96.8705346,1,0.63
Highland Homes Hollyhock,"general_contractor, point_of_interest, establishment","1909 Snapdragon Road, Frisco",33.2130936,-96.87272109999999,1,0.74
Hollyhock by Newland,"general_contractor, point_of_interest, establishment","16360 Hollyhock Road, Frisco",33.2138851,-96.8714145,1,0.76
St. Martin de Porres Catholic School,"primary_school, school, point_of_interest, establishment","4000 West University Drive, Prosper",33.2214451,-96.8665419,1,0.86
HOLT CAT Little Elm,"point_of_interest, establishment","27600 East University Drive, Aubrey",33.2185469,-96.89690929999999,1,0.91
Little Elm,"locality, political",Little Elm,33.1782296,-96.89098919999999,1,3.01
Vineyard Community Church NTX,"church, place_of_worship, point_of_interest, establishment","800 Copper Canyon Drive, Prosper",33.227613,-96.867114,1,0.94
Windsong Ranch Elementary,"primary_school, school, point_of_interest, establishment","800 Copper Canyon Drive, Prosper",33.2281077,-96.8671529,1,0.96
Circle K ATM,"atm, finance, point_of_interest, establishment","27575 Hwy. 380, 27575 U.S. 380 E, Aubrey",33.2203409,-96.8985917,1,0.99
Circle K,"convenience_store, cafe, meal_takeaway, atm, store, finance, restaurant, food, point_of_interest, establishment","27575 U.S. 380, Aubrey",33.2203847,-96.8985986,1,0.99
Dr. Lauren Akers,"doctor, point_of_interest, health, establishment","4200 West University Drive, Prosper",33.21997,-96.87047,1,0.64
SafeSplash Swim School - Prosper (University Drive),"point_of_interest, establishment","4900 West University Drive, Prosper",33.2210637,-96.88127089999999,1,0.01
LA Fitness,"gym, point_of_interest, health, establishment","4900 West University Drive, Prosper",33.2211184,-96.8815552,1,0.01
Restore Hyper Wellness,"spa, point_of_interest, health, establishment","4890 West University Drive #20, Prosper",33.2209712,-96.8810238,1,0.02
Posh Nail Salon,"beauty_salon, point_of_interest, establishment","4890 West University Drive, Prosper",33.221014,-96.88102110000001,1,0.02
Splash and Dash Groomerie & Boutique,"pet_store, store, point_of_interest, establishment","4890 West University Drive #30, Prosper",33.2209753,-96.8809538,1,0.03
First Watch,"restaurant, food, point_of_interest, establishment","4890 West University Drive #50, Prosper",33.2209987,-96.8807843,1,0.04
Jimmy John's,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment","4890 West University Drive #90, Prosper",33.2214012,-96.8807405,1,0.05
